"DATE","VALUE"
"1965-11-01",34.64817
"1965-12-01",34.5348
"1966-01-01",34.5348
"1966-02-01",34.30806
"1966-03-01",34.30806
"1966-04-01",34.30806
"1966-05-01",34.42143
"1966-06-01",34.30806
"1966-07-01",34.30806
"1966-08-01",34.30806
"1966-09-01",34.19469
"1966-10-01",34.19469
"1966-11-01",34.08132
"1966-12-01",34.30806
"1967-01-01",34.42143
"1967-02-01",34.30806
"1967-03-01",34.30806
"1967-04-01",34.30806
"1967-05-01",34.30806
"1967-06-01",34.42143
"1967-07-01",34.30806
"1967-08-01",34.30806
"1967-09-01",34.30806
"1967-10-01",34.5348
"1967-11-01",34.42143
"1967-12-01",34.30806
"1968-01-01",34.19469
"1968-02-01",34.30806
"1968-03-01",34.19469
"1968-04-01",33.96795
"1968-05-01",33.96795
"1968-06-01",34.19469
"1968-07-01",34.19469
"1968-08-01",33.96795
"1968-09-01",33.85458
"1968-10-01",33.85458
"1968-11-01",33.85458
"1968-12-01",33.85458
"1969-01-01",33.85458
"1969-02-01",33.85458
"1969-03-01",33.85458
"1969-04-01",33.85458
"1969-05-01",33.85458
"1969-06-01",33.96795
"1969-07-01",33.96795
"1969-08-01",33.96795
"1969-09-01",34.19469
"1969-10-01",34.19469
"1969-11-01",33.96795
"1969-12-01",33.96795
"1970-01-01",34.42143
"1970-02-01",34.76154
"1970-03-01",34.98828
"1970-04-01",35.21502
"1970-05-01",35.44176
"1970-06-01",35.55513
"1970-07-01",35.6685
"1970-08-01",35.78187
"1970-09-01",36.12198
"1970-10-01",36.23535
"1970-11-01",36.68883
"1970-12-01",36.91557
"1971-01-01",36.68883
"1971-02-01",36.68883
"1971-03-01",36.8022
"1971-04-01",36.68883
"1971-05-01",36.68883
"1971-06-01",36.68883
"1971-07-01",36.8022
"1971-08-01",36.91557
"1971-09-01",36.8022
"1971-10-01",36.57546
"1971-11-01",36.8022
"1971-12-01",36.8022
"1972-01-01",36.57546
"1972-02-01",36.46209
"1972-03-01",36.57546
"1972-04-01",36.46209
"1972-05-01",36.46209
"1972-06-01",36.46209
"1972-07-01",36.34872
"1972-08-01",36.34872
"1972-09-01",36.23535
"1972-10-01",36.34872
"1972-11-01",36.00861
"1972-12-01",35.89524
"1973-01-01",35.55513
"1973-02-01",35.6685
"1973-03-01",35.55513
"1973-04-01",35.6685
"1973-05-01",35.55513
"1973-06-01",35.55513
"1973-07-01",35.44176
"1973-08-01",35.44176
"1973-09-01",35.44176
"1973-10-01",35.21502
"1973-11-01",35.44176
"1973-12-01",35.55513
"1974-01-01",35.78187
"1974-02-01",35.89524
"1974-03-01",35.78187
"1974-04-01",35.78187
"1974-05-01",35.78187
"1974-06-01",36.12198
"1974-07-01",36.23535
"1974-08-01",36.23535
"1974-09-01",36.68883
"1974-10-01",36.8022
"1974-11-01",37.48242
"1974-12-01",38.16264
"1975-01-01",39.18297
"1975-02-01",39.18297
"1975-03-01",39.74982
"1975-04-01",39.97656
"1975-05-01",40.2033
"1975-06-01",39.97656
"1975-07-01",39.74982
"1975-08-01",39.52308
"1975-09-01",39.52308
"1975-10-01",39.52308
"1975-11-01",39.40971
"1975-12-01",39.29634
"1976-01-01",38.95623
"1976-02-01",38.72949
"1976-03-01",38.61612
"1976-04-01",38.72949
"1976-05-01",38.38938
"1976-06-01",38.61612
"1976-07-01",38.84286
"1976-08-01",38.84286
"1976-09-01",38.61612
"1976-10-01",38.72949
"1976-11-01",38.84286
"1976-12-01",38.84286
"1977-01-01",38.50275
"1977-02-01",38.61612
