"DATE","VALUE"
"1965-11-01",41.961301
"1965-12-01",42.176704
"1966-01-01",42.176704
"1966-02-01",42.902272
"1966-03-01",43.151686
"1966-04-01",43.253719
"1966-05-01",43.129012
"1966-06-01",42.766228
"1966-07-01",43.117675
"1966-08-01",43.956613
"1966-09-01",44.047309
"1966-10-01",44.296723
"1966-11-01",44.035972
"1966-12-01",43.809232
"1967-01-01",43.62784
"1967-02-01",43.253719
"1967-03-01",42.890935
"1967-04-01",42.879598
"1967-05-01",42.630184
"1967-06-01",43.219708
"1967-07-01",43.321741
"1967-08-01",42.94762
"1967-09-01",42.94762
"1967-10-01",42.936283
"1967-11-01",43.51447
"1967-12-01",43.718536
"1968-01-01",44.138005
"1968-02-01",44.126668
"1968-03-01",44.466778
"1968-04-01",44.455441
"1968-05-01",44.795551
"1968-06-01",44.76154
"1968-07-01",45.090313
"1968-08-01",45.078976
"1968-09-01",45.056302
"1968-10-01",45.385075
"1968-11-01",45.010954
"1968-12-01",45.339727
"1969-01-01",45.317053
"1969-02-01",45.305716
"1969-03-01",45.951925
"1969-04-01",46.258024
"1969-05-01",46.246687
"1969-06-01",46.212676
"1969-07-01",46.167328
"1969-08-01",46.155991
"1969-09-01",46.46209
"1969-10-01",46.428079
"1969-11-01",46.722841
"1969-12-01",46.68883
"1970-01-01",46.983592
"1970-02-01",47.278354
"1970-03-01",46.904233
"1970-04-01",46.870222
"1970-05-01",46.847548
"1970-06-01",46.813537
"1970-07-01",46.473427
"1970-08-01",46.450753
"1970-09-01",46.416742
"1970-10-01",46.382731
"1970-11-01",46.34872
"1970-12-01",46.314709
"1971-01-01",45.985936
"1971-02-01",45.351064
"1971-03-01",45.033628
"1971-04-01",44.716192
"1971-05-01",44.98828
"1971-06-01",44.965606
"1971-07-01",44.954269
"1971-08-01",44.942932
"1971-09-01",44.625496
"1971-10-01",44.319397
"1971-11-01",44.013298
"1971-12-01",43.707199
"1972-01-01",43.695862
"1972-02-01",44.262712
"1972-03-01",43.96795
"1972-04-01",43.956613
"1972-05-01",43.661851
