"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3293984704435","23.9968513652007","50.3149355713501","44.0735112665762","50.6072915626901","59.0696610230289","41.0323120371052","42.3038148417133","","","",
"Angola","AGO","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6524460019801","21.8300194095745","29.0157756429379","25.8356433313971","32.5187868711535","19.3605773684441","27.2702447349974","23.8564602903463","22.4825262071847","23.5451454395421","23.748992890748","26.0623754955276","28.6371363558934","26.0341347189483","30.8735681759744","32.1445491835568","","",
"Albania","ALB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5520704763684","20.3453270354581","24.4836031403074","28.2453739229992","","","","24.3447093485731","22.3616142522594","22.3882687198779","","","","","","","","","23.3681005031773","24.4120797686307","","",
"Arab World","ARB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05387363605581","6.54878847413229","6.20006062052198","","","","","","","","","","","","4.15083084421647","4.26158857805326","4.02663565832918","3.90670758769089","","",
"Argentina","ARG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9559988456693","18.1464405215631","17.1482192993136","17.0424253804612","21.1396851697465","23.8619179943921","22.9973623470093","22.5680163171222","21.3736421560682","","23.9875580530759","","",
"American Samoa","ASM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5665531164751","23.0986910566226","25.2654893149862","21.9329871883926","22.8001641351842","20.9167134097793","22.319691321806","21.5346454584271","21.0637435144976","23.9995215772349","22.0561041934922","23.4259661366557","20.6439623830527","21.6061709663568","21.7894924194221","","",
"Australia","AUS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0985804593822","18.5036914844394","18.1824218879703","21.3227743941035","23.7041491280818","23.6750257858162","24.5592107773919","23.7569107406626","23.4165953169787","23.609768289234","23.3399427939786","25.62838263225","26.5167886222689","26.4908217825154","26.196900511969","25.7495634035971","24.2368320351557","22.2133706007744","21.8490618333721","23.1944360739125","24.4569393772448","24.9835573735044","25.0922066371634","","","","","24.5637596877353","24.0996294995823","26.3609563526894","26.4756008855995","25.8619742231991","25.699879372178","25.6412370149979","24.943711191799","24.4989112167682","24.3352595758192","26.4996316924111","26.7900835674358","25.981153288244","26.2582777459582","26.036829327013","26.495003717078","","",
"Austria","AUT","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","25.9779833339169","27.6787686667357","27.9712580987205","31.1835984194386","31.6955114098968","31.4895194154893","33.933495314512","33.40289094355","33.5547750922126","34.6489129902508","35.0811455791018","35.5015243520295","35.7913513894742","35.6588975075985","36.3622986446243","36.9445830730489","37.2597004043559","35.8398015733508","35.6772164006166","36.1296461448624","36.78576579508","38.8500615125176","38.7683090814254","48.3091643759653","48.3334545818915","47.1407842655779","46.8679407188516","46.7061498341865","45.8335358073121","46.2009113491005","45.5673850924857","45.7138363621385","48.2791455018202","45.6261776990367","44.95059629688","43.7856536131385","44.4132418005539","47.7039492451755","46.2505876063843","45.3437459214955","45.9636059831048","46.4481452380227","47.5457239565931","","",
"Azerbaijan","AZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1997142074756","19.8269659761927","15.8077097605246","16.2214749800524","18.7677395353163","19.0096421797684","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.4930086119085","21.0973483837652","22.1145922703119","","",
