Date,SoilMoisture,Average_Temp,Min_Temp,Max_Temp,Precipitation,Working_days,HA_Harvested,FFB_Yield
01.01.2017,600,26.30322581,21.5,33.6,233.2,25,773714.8936,1.41
01.02.2017,576.6,25.96785714,21.5,32,172.3,23,840881.8182,1.32
01.03.2017,558.7,26.92258065,21.2,35.4,196.6,26,829901.5152,1.32
01.04.2017,557,27.33666667,22.2,34,209.6,25,838803.0075,1.33
01.05.2017,571.4,27.24193548,22.5,34.3,258.4,24,848043.8849,1.39
01.06.2017,553.8,27.39333333,20,34.6,135.2,24,812858.209,1.34
01.07.2017,518.1,26.93870968,21.9,34.1,147.8,26,828471.4286,1.82
01.08.2017,526.7,26.83225806,21.7,32.8,226.5,26,784926.3959,1.97
01.09.2017,539,27.06666667,21.2,33.8,185.4,21,768186.4734,2.07
01.10.2017,547.5,27.47419355,21.2,35.4,219,24,765351.3274,2.26
01.11.2017,592.9,26.53,22.1,33.8,327.3,26,760970.4846,2.27
01.12.2017,619,26.44193548,22.2,33.1,301,24,756968.0365,2.19
01.01.2018,613.9,25.71612903,19.8,33,422.1,26,809692.0904,1.77
01.02.2018,549.7,26.64642857,20.5,34.2,60.2,22,791064.0288,1.39
01.03.2018,479.9,27.08064516,21.4,34.8,108,26,824104.5752,1.53
01.04.2018,473.4,27.53333333,21.5,34.6,176.4,25,834390.3448,1.45
01.05.2018,491.7,27.56129032,21.9,34.3,179.4,23,870965.4676,1.39
01.06.2018,498.2,27.21333333,21.6,33.6,165.6,24,820758.9147,1.29
01.07.2018,494.7,27.07419355,21.2,33.5,154.7,26,882254.2254,1.42
01.08.2018,478.8,27.01612903,20.4,33.6,127.2,25,829488.8199,1.61
01.09.2018,481.1,26.94666667,21,34.2,180.6,23,792101.0471,1.91
01.10.2018,510.8,26.81935484,21,34.4,207,26,771805.3922,2.04
