Name in English,Number of speakers,Degree of endangerment,Latitude,Longitude
Maiya,220000,Vulnerable,35.3151,72.908
Komi,217316,Definitely endangered,62.3087,51.5917
Alpine Provençal,200000,Definitely endangered,44.7467,6.6796
Gallo,200000,Severely endangered,47.931,-2.0544
Gera,200000,Vulnerable,10.5553,10.0579
Irula,200000,Vulnerable,11.4369,76.5032
Kharia,200000,Vulnerable,21.8003,85.4956
Khorasani Turk,200000,Vulnerable,36.6596,57.854
Korku,200000,Vulnerable,20.3034,80.2441
Moksha,200000,Definitely endangered,54.1817,43.2751
Western Armenian (Middle East),200000,Definitely endangered,33.884,35.5133
Western Cham,200000,Vulnerable,12.0333,105.4333
Tshangla,193000,Vulnerable,27.1275,91.9335
Thado,191000,Vulnerable,24.4521,93.2354
Gagauz (Bessarabia),180000,Definitely endangered,46.0922,28.7951
Kului,170770,Definitely endangered,31.4403,77.1487
Adi,170000,Vulnerable,28.3527,95.2294
Lhota,170000,Vulnerable,26.1603,94.3725
Nyishi,170000,Vulnerable,27.5277,93.0981
Ngäbere (Panama),169130,Vulnerable,9.3395,-82.2428
Kodagu,166187,Definitely endangered,11.6952,75.9375
Corsican,160000,Definitely endangered,42.0819,9.0307
Dzongkha,160000,Vulnerable,27.44,89.6731
Kalmyk,153602,Definitely endangered,46.2026,45.8239
Lak,153373,Vulnerable,42.0125,47.2521
Asturian-Leonese,150000,Definitely endangered,42.7954,-5.6689
Latgalian,150000,Vulnerable,56.1822,27.1362
Provençal,150000,Severely endangered,43.5485,6.1083
Rabha,150000,Vulnerable,25.9284,90.9777
Tamzabit,150000,Vulnerable,32.4816,3.6694
Sherpa,143693,Vulnerable,27.739,86.839
Tangkhul,142000,Vulnerable,25.0358,94.4824
Q'aanjob'al,139830,Vulnerable,15.6019,-91.4441
Badaga,134514,Definitely endangered,11.3642,76.5266
Angami,132000,Vulnerable,25.7553,94.1308
Laz,130000,Definitely endangered,41.2736,41.2646
Tabasaran,128391,Vulnerable,41.8081,47.9882
Chambeali,126589,Definitely endangered,32.9072,76.5307
Abkhaz,125000,Vulnerable,43.133,40.8471
Phom,123000,Vulnerable,26.7799,94.9493
Kolami,121855,Definitely endangered,20.5093,78.1787
Navajo,120000,Vulnerable,35.8044,-108.475
Sassarese,120000,Definitely endangered,40.6139,8.6132
Tamahaq (Algeria),120000,Vulnerable,22.8369,5.5371
Konda,118597,Definitely endangered,18.2763,82.9385
Sierra Totonac,118367,Severely endangered,20.2461,-97.6586
Jaunsari,114733,Definitely endangered,30.4859,78.0908
Dimasa,112000,Vulnerable,24.7368,92.9003
Ladakhi,105000,Vulnerable,34.0617,77.5909
Salar,104503,Vulnerable,36.2752,102.4584
Simi,104000,Vulnerable,25.9777,94.5922
Phurhepecha,102988,Vulnerable,19.3111,-102.041
Crimean Tatar (Crimea),100000,Severely endangered,45.3212,34.3212
Dagur (Nonni),100000,Definitely endangered,47.9163,124.1235
Francoprovençal,100000,Definitely endangered,45.7828,6.9982
Gallurese,100000,Definitely endangered,40.8802,9.4482
